Date,Time,Tournament,Player 1,Player 2,player_id,opponent_id,Tour,Surface
2026-07-18,Final,EFG Swiss Open Gstaad,Raphael Collignon,Juan Manuel Cerundolo,atp_68,atp_19,ATP,
2026-07-18,Final,EFG Swiss Open Gstaad,Aleksandr Shevchenko,Stefanos Tsitsipas,atp_79,atp_32,ATP,
2026-07-18,Final,Generali Open,Hugo Dellien,Michele Ribecai,atp_157,atp_410,ATP,Clay
2026-07-18,Final,Generali Open,Sandro Kopp,Pierre-Hugues Herbert,atp_304,atp_189,ATP,Clay
2026-07-18,Final,Generali Open,Gustavo Heide,Kilian Feldbausch,atp_256,atp_412,ATP,Clay
2026-07-18,Final,Generali Open,Jurij Rodionov,Andrey Chepelev,atp_175,atp_463,ATP,Clay
2026-07-18,Final,Generali Open,Federico Coria,Vitaliy Sachko,atp_377,atp_181,ATP,Clay
2026-07-18,Final,Generali Open,Niklas Waldner,Laslo Djere,atp_881,atp_113,ATP,Clay
2026-07-18,Final,Generali Open,Federico Cina,Daniel Michalski,atp_224,atp_402,ATP,Clay
2026-07-18,Final,Generali Open,Nico Hipfl,Lorenzo Giustino,atp_9100,atp_206,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Andrea Pellegrino,Joao Silva,atp_140,atp_207,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Joao Domingues,Timofey Skatov,atp_37,atp_193,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Pedro Martinez,David Jorda Sanchis,atp_101,atp_381,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Francisco Rocha,Gonzalo Bueno,atp_170,atp_218,ATP,Clay
2026-07-18,TBD,Millennium Estoril Open,Orlando Luz,Chun-Hsin Tseng,atp_917,atp_114,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Edas Butvilas,Clement Tabur,atp_250,atp_204,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Taro Daniel,Juan Carlos Prado Angelo,atp_402,atp_212,ATP,Clay
2026-07-18,Final,Millennium Estoril Open,Kyrian Jacquet,Goncalo Da Rosa Castro,atp_153,atp_9101,ATP,Clay
2026-07-18,Final,Nordea Open,Andrey Rublev,Alejandro Tabilo,atp_14,atp_67,ATP,Clay
2026-07-18,Final,Nordea Open,Adolfo Daniel Vallejo,Luciano Darderi,atp_9021,atp_22,ATP,Clay
2026-07-18,Live,Plava Laguna Croatia Open Umag,Daniel Merida,Damir Dzumhur,atp_402,atp_61,ATP,
2026-07-18,Live,ATV Bancomat Tennis Open,Martina Trevisan,Francesca Jones,wta_685,wta_72,WTA,
2026-07-18,Final,ATV Bancomat Tennis Open,Lucia Bronzetti,Nuria Brancaccio,wta_138,wta_164,WTA,
2026-07-18,Final,Enka Open,Anastasia Zakharova,Hanne Vandewinkel,wta_103,wta_128,WTA,
2026-07-18,Final,Enka Open,Vendula Valdmannova,Lanlana Tararudee,wta_286,wta_124,WTA,
2026-07-18,Final,Generali Open Ladies Kitzbühel,Veronika Erjavec,Julia Grabher,wta_112,wta_80,WTA,
2026-07-18,Final,Generali Open Ladies Kitzbühel,Marina Bassols Ribera,Sinja Kraus,wta_209,wta_105,WTA,
2026-07-18,Final,Livesport Prague Open,Viktoria Morvayova,Ayla Aksu,wta_328,wta_304,WTA,Hard
2026-07-18,Final,Livesport Prague Open,Veronika Podrez,Tereza Krejcova,wta_232,wta_351,WTA,Hard
